"DF","SumsOfSqs","MeanSqs","FModel","R2","pval","FDR(BH)","Significant"
1,0.948455104215545,0.948455104215545,3.30694131160736,0.00555501890221766,0.001,0.0255,"Yes"
1,0.549454015777348,0.549454015777348,1.91126840310321,0.00321810429400033,0.006,0.0437142857142857,"Yes"
1,0.456915074366346,0.456915074366346,1.58850920045502,0.0026761117774916,0.028,0.129818181818182,"No"
1,0.510827800642251,0.510827800642251,1.77755226691953,0.00299868350297976,0.011,0.068,"No"
1,0.408964242539733,0.408964242539733,1.4222396987724,0.00240071962777015,0.066,0.198,"No"
1,0.247561616935471,0.247561616935471,0.8574242220588,0.00157078420849689,0.673,0.756130434782609,"No"
1,0.429006035835828,0.429006035835828,1.48756826677366,0.00272205326004322,0.043,0.156642857142857,"No"
1,0.242205247080371,0.242205247080371,0.840493245264706,0.00144206391801096,0.699,0.758489361702128,"No"
1,0.257706171346467,0.257706171346467,0.89489337213942,0.00150936259047475,0.581,0.689093023255814,"No"
1,0.353069135358718,0.353069135358718,1.22673068593282,0.00206789516128915,0.167,0.383608695652174,"No"
1,0.247597193710336,0.247597193710336,0.863536886265654,0.00181467336605798,0.653,0.756130434782609,"No"
1,0.246114207073362,0.246114207073362,0.858150229490523,0.001784622407005,0.682,0.756130434782609,"No"
1,0.560456961374012,0.560456961374012,1.95617584901899,0.00418920650414844,0.002,0.0255,"Yes"
1,0.341873095697114,0.341873095697114,1.18775225327054,0.00200232093255259,0.242,0.444428571428571,"No"
1,0.228913623594332,0.228913623594332,0.784188937003504,0.00523545871275719,0.792,0.80988,"No"
1,0.230368042485373,0.230368042485373,0.798250061693654,0.00148429278377548,0.768,0.80988,"No"
1,0.308148049182824,0.308148049182824,1.0703711959965,0.00180479627373387,0.336,0.5514375,"No"
1,0.276699521966918,0.276699521966918,0.960356886711982,0.00164174695841478,0.517,0.647214285714286,"No"
1,0.359770875449579,0.359770875449579,1.24959684809219,0.0021351520015084,0.154,0.383608695652174,"No"
1,0.426580546060908,0.426580546060908,1.48162171098633,0.00253060327778779,0.055,0.1753125,"No"
1,0.293852408436111,0.293852408436111,1.01999437187907,0.00174352053210457,0.431,0.6465,"No"
1,0.330103711779709,0.330103711779709,1.14600411810045,0.00196184534349525,0.258,0.453724137931034,"No"
1,0.457524567145081,0.457524567145081,1.590322774368,0.00274861626918046,0.031,0.13175,"No"
1,0.355902635334383,0.355902635334383,1.23794421819597,0.00209736468202785,0.173,0.383608695652174,"No"
1,0.579930713525184,0.579930713525184,2.01764249690903,0.00339660365713721,0.005,0.0425,"Yes"
1,0.271791804202123,0.271791804202123,0.976784429554079,0.0125266056647479,0.493,0.647214285714286,"No"
1,0.394909567914515,0.394909567914515,1.37177520552864,0.00482387960105112,0.089,0.238894736842105,"No"
1,0.274238682440053,0.274238682440053,0.947952255763453,0.00254861533721151,0.526,0.647214285714286,"No"
1,0.337212910998615,0.337212910998615,1.17169287794332,0.00199889024355753,0.229,0.444428571428571,"No"
1,0.272055014114558,0.272055014114558,0.944927062290645,0.00161265507840158,0.529,0.647214285714286,"No"
1,0.203160947697736,0.203160947697736,0.705141495576683,0.00120186691014706,0.895,0.895,"No"
1,0.472559690763468,0.472559690763468,1.63718255331278,0.00282449539572488,0.021,0.1071,"No"
1,0.27881959155629,0.27881959155629,0.963499132684279,0.00168454653862583,0.533,0.647214285714286,"No"
1,0.291312774640169,0.291312774640169,1.01179288878953,0.00170619353767097,0.418,0.646,"No"
1,0.346326150577785,0.346326150577785,1.20325471987351,0.00202840208697392,0.223,0.444428571428571,"No"
1,0.285442791282186,0.285442791282186,0.991371013019077,0.0016718135566214,0.471,0.647214285714286,"No"
1,0.30998175011007,0.30998175011007,1.0767522539575,0.00181553610028611,0.338,0.5514375,"No"
1,0.578791916739356,0.578791916739356,2.01366702151162,0.00338993382359112,0.004,0.0408,"Yes"
1,0.459774329884506,0.459774329884506,1.59847651782884,0.00269285818792163,0.036,0.141230769230769,"No"
1,0.311760642749455,0.311760642749455,1.0829427169089,0.00182595491947205,0.346,0.5514375,"No"
1,0.407225602582881,0.407225602582881,1.4153459638323,0.00238508487092372,0.08,0.226666666666667,"No"
1,0.27400790818111,0.27400790818111,0.951592696505749,0.00160484044267136,0.527,0.647214285714286,"No"
1,0.340178820875805,0.340178820875805,1.1818541693756,0.00199239771255399,0.244,0.444428571428571,"No"
1,0.340606065757786,0.340606065757786,1.18334147674065,0.00199490004859999,0.214,0.444428571428571,"No"
1,0.49571355161551,0.49571355161551,1.7237886017028,0.00290335107805356,0.012,0.068,"No"
1,0.367720244026598,0.367720244026598,1.27774550087974,0.00215370542813972,0.162,0.383608695652174,"No"
1,0.717762983852235,0.717762983852235,2.49920047770536,0.00420387525449512,0.001,0.0255,"Yes"
1,0.651054781259148,0.651054781259148,2.26603809673799,0.00381317112449409,0.002,0.0255,"Yes"
1,0.225949168133718,0.225949168133718,0.784469976944124,0.00132336458978866,0.794,0.80988,"No"
1,0.424611145183261,0.424611145183261,1.4759214882149,0.00248691047905338,0.055,0.1753125,"No"
1,0.278705769497692,0.278705769497692,0.967934413951873,0.00163235540705673,0.501,0.647214285714286,"No"
