Factor	Estimate	SD	Pvalue	Taxa	FDR
dum_predyes	0.0836105219537537	0.034144593503712	0.0144180814139687	X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis	0.0543427494151172
dum_predyes	-0.402828983128227	0.168698215979588	0.017434253250043	ALL.CHORISMATE.PWY..superpathway.of.chorismate.metabolism	0.0628771075653254
dum_predyes	0.374487068448949	0.0960914008119673	0.000100394834114089	ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis	0.000756914751709804
dum_predyes	-0.205519553932782	0.0839873236816054	0.0144865987434859	ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.	0.0543505527680189
dum_predyes	-0.111969809822945	0.0237840531507365	2.66854738552016e-06	ARO.PWY..chorismate.biosynthesis.I	2.91693466811702e-05
dum_predyes	-0.0952171155474586	0.0315833590661526	0.00260249420370451	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis	0.0128658516267646
dum_predyes	0.339275864752821	0.0856189863192092	7.66699993189616e-05	CITRULBIO.PWY..L.citrulline.biosynthesis	0.000603991341268329
dum_predyes	-0.101291798761864	0.0213105646434012	2.13927243861066e-06	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	2.48454471822465e-05
dum_predyes	0.10584926936542	0.0441674311416481	0.016637809275934	GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation	0.0605516584132208
dum_predyes	-0.235333760446496	0.0620164943316341	0.000152022911628034	GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	0.00109894823302737
dum_predyes	0.157681641655408	0.0683747925614451	0.0212004491415587	PWY_GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	0.0732737624050152
dum_predyes	-0.444670804235169	0.103236298702104	1.77319015520869e-05	GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol	0.000163309262399541
dum_predyes	-0.195071119527193	0.0337737216395387	8.80266228391915e-09	HISTSYN.PWY..L.histidine.biosynthesis	2.29814959957856e-07
dum_predyes	-0.323420857633187	0.0627154249704729	2.74639473877642e-07	HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I	4.31634874616652e-06
dum_predyes	-0.531059718289187	0.100166057840411	1.27897597387063e-07	LACTOSECAT.PWY..lactose.and.galactose.degradation.I	2.26982309070636e-06
dum_predyes	-0.34336188276561	0.0621904971268129	3.78674275164066e-08	MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis	7.9220664585648e-07
dum_predyes	-0.307520041250529	0.0571540062960608	8.25637281680494e-08	METSYN.PWY..L.homoserine.and.L.methionine.biosynthesis	1.60011544345318e-06
dum_predyes	0.28447908998729	0.100521006766429	0.00470046368932513	NAGLIPASYN.PWY..lipid.IVA.biosynthesis	0.021032244751527
dum_predyes	-0.366140264689542	0.073461658467783	6.74072845187861e-07	OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.	8.79915751218369e-06
dum_predyes	-0.259484345857635	0.119181788366995	0.0295918074177506	P108.PWY..pyruvate.fermentation.to.propanoate.I	0.0972742139778085
dum_predyes	-0.458254332752528	0.149730701465859	0.00243638659480881	P124.PWY..Bifidobacterium.shunt	0.0121588392622449
dum_predyes	-0.326285653259168	0.0654559506097733	6.71802502593125e-07	P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I	8.79915751218369e-06
dum_predyes	-0.167726839893447	0.0482041442451374	0.000512698141363311	PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	0.00317571260503275
dum_predyes	-0.374241060789443	0.0767331459639007	1.15779435693533e-06	PWY.2941..L.lysine.biosynthesis.II	1.41762495099175e-05
dum_predyes	-0.0630237793414658	0.0225277941551419	0.00519547721821452	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	0.02282686026751
dum_predyes	-0.388902180710835	0.0634361681430055	1.0436039026569e-09	PWY.4981..L.proline.biosynthesis.II..from.arginine.	3.39870590566303e-08
dum_predyes	0.354217838282124	0.0883510342339139	6.31291078715667e-05	PWY.4984..urea.cycle	0.000507442370906563
dum_predyes	-0.226262741075001	0.0992406767362594	0.0227611060911523	PWY.5005..biotin.biosynthesis.II	0.0774809635150325
dum_predyes	0.174584303524429	0.0776390284538655	0.0246383914794219	PWY.5030..L.histidine.degradation.III	0.0828889016863618
dum_predyes	-0.2617779433807	0.0446235040643534	5.16490598921482e-09	PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II	1.43122263332716e-07
dum_predyes	0.335159056884402	0.0979718821433434	0.000636109370882719	PWY.5101..L.isoleucine.biosynthesis.II	0.0038219250223191
dum_predyes	-0.108554779679385	0.0351258728227893	0.00202483505881364	PWY.5103..L.isoleucine.biosynthesis.III	0.01036702423143
dum_predyes	-0.162765990696306	0.0646077631894618	0.0118334499009355	PWY.5104..L.isoleucine.biosynthesis.IV	0.04661080827563
dum_predyes	-0.175160634187777	0.043276201148557	5.36484665643829e-05	PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.	0.000440196119160742
dum_predyes	-0.26719271817344	0.0531240033081656	5.33377814984784e-07	PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.	7.27951412912018e-06
dum_predyes	-0.382169055727215	0.122555083956745	0.00184940628364928	PWY.5367..petroselinate.biosynthesis	0.00960900402968434
dum_predyes	-0.250824133897844	0.101383875615224	0.0135412699462245	PWY.5464..superpathway.of.cytosolic.glycolysis..plants...pyruvate.dehydrogenase.and.TCA.cycle	0.0513535987186113
dum_predyes	0.163752669336702	0.0673167932821528	0.0150756325059103	PWY.5484..glycolysis.II..from.fructose.6.phosphate.	0.0560209166541103
