,PC1,PC2,PC3
MOCK_LL11_D06_914,-0.0182876778332486,0.004730407062150858,0
MOCK_LL12_A10_1040,0.015049117259568217,-0.009666368815325437,0
MOCK_LL12_C02_978,-0.013048933498593042,-0.020322570768474494,0
MOCK_LL12_D01_971,0.02085109894580252,0.00016126770959754312,0
MOCK_LL13_A02_1072,-0.014649797363041651,0.010006067188556872,0
MOCK_LL14_H09_1233,0.022949505293367693,0.0017589668354988112,0
MOCK_LL15_E03_1278,-0.026175199407191502,-0.010258424192708736,0
MOCK_LL18_F06_1593,0.020341572476245226,0.0037095265999330575,0
MOCK_LL22_D08_2042,-0.02063593658661205,0.003597708068809624,0
MOCK_LL25_C12_2383,0.018710751335271256,0.0010092700451064644,0
MOCK_LL32_D08_2930,-0.024539255892149725,-0.006611119312076463,0
MOCK_LL32_E09_2939,0.024520038409360706,0.0110067662834667,0
MOCK_LL32_G05_2779,-0.02102879405006154,-0.010213720785447016,0
MOCK_LL33_D07_2995,0.0171577739654229,-0.005913876328226541,0
MOCK_LL35_C07_3209,-0.02178137292662018,0.018873000062397647,0
MOCK_LL36_A08_3311,0.018229283398122766,-0.0024268460363780276,0
MOCK_LL36_G05_3293,-0.028179944689088722,0.0170473774847,0
MOCK_LL37_D6_3394,0.015450598043631967,-0.000495826600159951,0
MOCK_LL37_F1_3356,-0.016516514483736533,-0.0007880626757892362,0
MOCK_LL37_H7_3406,0.018814973710902537,0.001681995496479362,0
MOCK_LL39_G03_3600,-0.016384480147633166,-0.020474927856127267,0
MOCK_LL3_G02_126,0.01748704250336798,-0.0008542026492274078,0
MOCK_LL40_D03_3658,-0.023681695026619716,0.03376864246776247,0
MOCK_LL40_F09_3708,0.012327870632046576,0.0005546455993987141,0
MOCK_LL41_G10_3813,-0.024179577799603936,0.012062142011897441,0
MOCK_LL41_H12_3830,0.022694389746996755,0.0005588928669073561,0
MOCK_LL42_A04_3855,-0.017246191004041286,-0.01995399495006273,0
MOCK_LL43_A03_3943,0.01379016177270744,-0.02023789311794884,0
MOCK_LL44_F7_4076,-0.023002001389224466,-0.017007097992584656,0
MOCK_LL45_C02_4129,0.027604393462496723,0.00014423020193223137,0
MOCK_LL45_E08_4179,-0.020270743914282713,0.010115270301284299,0
MOCK_LL45_H02_4134,0.018049169683265417,0.007452975955383517,0
MOCK_LL46_A02_4223,-0.021271618805806622,-0.01652634113950354,0
MOCK_LL46_C05_4249,0.02413545226551543,-0.0004306412156532152,0
MOCK_LL46_G08_4277,-0.026490340594072185,-0.017603121326453926,0
MOCK_LL47_A06_4351,0.014609001818399506,-0.023677988797284482,0
MOCK_LL48_C02_4417,-0.0185277109058481,-0.002100215044945418,0
MOCK_LL48_C08_4465,0.017702291147153066,-0.0008131726425230021,0
MOCK_LL48_D12_4498,-0.02198874807119951,0.01967504614957726,0
MOCK_LL4_G12_220,0.021736957439740346,0.017196046639555342,0
MOCK_LL50_C02_4688,-0.01716594426230018,-0.02343414039289275,0
MOCK_LL50_D09_4745,0.021839632597913397,-0.01044475463667854,0
MOCK_LL51_A01_4619,-0.02402798205568754,0.00040087671215569264,0
MOCK_LL51_A04_4643,0.021921379596785674,-0.012748921716156188,0
MOCK_LL51_G10_4773,-0.0177872325494182,0.0018518940933036315,0
MOCK_LL52_B02_4800,0.01387984826025287,-0.004858822634727248,0
MOCK_LL52_C08_4849,-0.015507942276658427,-0.007094949870387507,0
MOCK_LL52_F10_4868,0.02175169303707078,-0.0054136530915824725,0
MOCK_LL53_B08_4944,-0.02302223206652868,0.0160158071609768,0
MOCK_LL53_F11_4972,0.011992622201740176,0.001500018807374184,0
MOCK_LL54_A10_5055,-0.018269578151161554,-0.038527233479877465,0
MOCK_LL54_H01_4990,0.024193137751359062,0.009684225434274198,0
MOCK_LL55_F11_5164,-0.01923467242961177,-0.018406321259569768,0
MOCK_LL56_D08_5234,0.016055954977895335,-0.016229876035586448,0
MOCK_LL56_F05_5212,-0.020799217619597396,-0.00923097730273312,0
MOCK_LL56_H11_5262,0.0204969020236187,0.014446682148392185,0
MOCK_LL57_D01_5274,-0.016884135009593747,-0.0024674796130981017,0
MOCK_LL58_E08_5427,0.01738321431427735,-0.009883077035508168,0
MOCK_LL59_D04_5490,-0.020385999543168942,-0.017803750331920873,0
MOCK_LL59_F08_5524,0.025025207772304506,-0.007527551620981995,0
MOCK_LL59_G07_5517,-0.0254557877949655,0.02244484842942434,0
MOCK_LL5_A04_246,0.022215504322106113,0.004065041846107182,0
MOCK_LL5_C07_272,-0.027644537606247886,-0.028803948091491643,0
MOCK_LL5_C10_296,0.018188067995233977,-0.004874521242718759,0
MOCK_LL5_D06_265,-0.021313339815727295,-0.021225049291598505,0
MOCK_LL5_F05_259,0.026292616949210926,-0.014962724797355796,0
MOCK_LL5_F12_315,-0.021693247845409068,-0.008436947123631106,0
MOCK_LL5_H07_277,0.022330518449710127,-0.01608261495970388,0
MOCK_LL60_C09_5625,-0.019652663767006116,-0.039089926301356465,0
MOCK_LL60_D12_5650,0.015540431439118077,0.0046263610122706045,0
MOCK_LL60_H04_5590,-0.021947010198901582,-0.014613693288238106,0
MOCK_LL61_D08_5714,0.02129236018857976,-0.0028867524325674643,0
MOCK_LL62_A03_5767,-0.022185978373954786,0.02251265966795133,0
MOCK_LL62_A04_5775,0.02084177804975961,0.010657621579649054,0
MOCK_LL62_A05_5783,-0.022626309875955736,-0.011802953492106779,0
MOCK_LL62_A12_5839,0.023133488480364436,0.014988498046621373,0
MOCK_LL62_B12_5840,-0.024691859843986686,0.01881919674770665,0
MOCK_LL62_D08_5810,0.020899751487561305,0.004392156297140298,0
MOCK_LL62_G05_5789,-0.019084906527418507,-0.004600786408668979,0
MOCK_LL63_B11_5928,0.016738901434711906,0.010946956181268005,0
MOCK_LL63_C01_5849,-0.020793232965647925,-0.0019113952534493446,0
MOCK_LL63_C11_5929,0.018664918998614846,-0.00376220339879731,0
MOCK_LL63_E02_5859,-0.01960685008309857,-0.02802739894896623,0
MOCK_LL63_G11_5933,0.020534721830386227,-0.011123478546736527,0
MOCK_LL63_H01_5854,-0.017220936362708644,0.004320342435751415,0
MOCK_LL64_A04_5967,0.020181870970196414,0.0026048786212037552,0
MOCK_LL64_A06_5983,-0.014466076208856154,-0.01892482734217608,0
MOCK_LL64_B09_6008,0.01966182305921248,-0.018477788750949495,0
MOCK_LL64_F04_5972,-0.023318453677279798,-0.02016814048356149,0
MOCK_LL64_G02_5957,0.015759708357695888,-0.005534694695036959,0
MOCK_LL64_G11_6029,-0.011073707943127658,-0.026427947903781664,0
MOCK_LL65_A11_6119,0.014767125932144428,-0.008915857200661906,0
MOCK_LL65_B03_6056,-0.024258418070258192,0.005064403115965207,0
MOCK_LL65_B08_6096,0.021144093614668198,-0.008324424043604037,0
MOCK_LL65_E02_6051,-0.014603153398311829,0.029230524997723255,0
MOCK_LL65_E03_6059,0.021363483968874348,-0.004096882568213166,0
MOCK_LL65_E11_6123,-0.025287102775073143,-0.0168383393076465,0
MOCK_LL65_G12_6133,0.022059023657837486,-0.014999047693412038,0
MOCK_LL65_H07_6094,-0.02374498196295594,0.002075854567582274,0
MOCK_LL66_A10_6207,0.023909074502636015,0.0014980966292283111,0
MOCK_LL66_B05_6168,-0.017201704659965986,-0.01124824900893019,0
MOCK_LL66_B06_6176,0.012216872451924805,-0.003760327030054688,0
MOCK_LL66_B09_6200,-0.023304716263925263,0.0029929629553884373,0
MOCK_LL66_B11_6216,0.019976661666660185,-0.024256588406546518,0
MOCK_LL66_C02_6145,-0.018472363671822232,-0.005390372078557518,0
MOCK_LL66_E08_6195,0.01774295173388768,-0.01618792319098851,0
